connection	content_length	content_pathtc	content_pathts	content_type	dcity	dcountry	dlatitude	dlongitude	dprovince	dstip	dstport	flow_id	host	nodeid	protocol	request_date	request_method	request_urL	response_date	response_phrase	scity	scountry	slatitude	slongitude	sprovince	srcip	srcport	status_code	uri
	34657			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b13110_1997279404_53312_140736767594668_80_6_281438276_2083690343	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/webuploader/webuploader.min.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53312	200	/Scripts/lib/webuploader/webuploader.min.js?v1528191898716
	11528			text/css	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b13110_1997279404_53312_140736767594668_80_6_281438276_2083690343	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/jquery-easyui/themes/bootstrap/easyui.css?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53312	200	/Scripts/jquery-easyui/themes/bootstrap/easyui.css?v1528191898716
	4316			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b12e20_1997279404_53311_140736767594668_80_6_1000190621_1783544431	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/sideBox/jquery.power.sideBox.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53311	200	/Scripts/lib/power/sideBox/jquery.power.sideBox.js?v1528191898716
	1067			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/require/css.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/lib/require/css.js?v1528191898716
	0				郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191861_0x63ae17f0_696428736_59596_140734032908460_8081_6_1723467419_1461592415	172.16.10.213	0	http	1528191896	POST	http://172.16.10.213/signalr/abort?transport=serverSentEvents&clientProtocol=1.5&PageId=LayoutMessages&IsDesktop=453GDF1&connectionToken=9vqwyw%2BQgRX5s0a%2BnQjZEevr4nYSbKPHRDW35Az7JZpkGks6F254fK2bKkMv5alpPwPcGQNyk8ULt986TnXDkmrxi47mm4XS4BNgdf%2B1c0ese97GKnNc8mtQnlXv3UQQ&connectionData=%5B%7B%22name%22%3A%22chathub%22%7D%5D	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53304	200	/signalr/abort?transport=serverSentEvents&clientProtocol=1.5&PageId=LayoutMessages&IsDesktop=RETERTE1&connectionToken=9vqwyw%2BQgRX5s0a%2BnQjZEevr4nYSbKPHRDW35Az7JZpkGks6F254fK2bKkMv5alpPwPcGQNyk8ULt986TnXDkmrxi47mm4XS4BNgdf%2B1c0ese97GKnNc8mtQnlXv3UQQ&connectionData=%5B%7B%22name%22%3A%22chathub%22%7D%5D
	100			application/json; charset=UTF-8	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b12e20_1997279404_53311_140736767594668_80_6_1000190621_1783544431	172.16.10.213	0	http	1528191896	POST	http://172.16.10.213/signalr/send?transport=serverSentEvents&clientProtocol=1.5&PageId=LayoutMessages&IsDesktop=ERTERT3451&connectionToken=BNp5vDbVquLJZB5nYqQjKTPtB%2FvJ291tGNLbCT9JWDE6LNJinjNyrdVTY59O8YAAvQzlSGjZBnm%2FxtuuMztqaHZFXokICEBbT%2BFshm6CAa4gSo85Grzh%2BXouNRZACQCM&connectionData=%5B%7B%22name%22%3A%22chathub%22%7D%5D	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53311	200	/signalr/send?transport=serverSentEvents&clientProtocol=1.5&PageId=LayoutMessages&IsDesktop=QEWET1&connectionToken=BNp5vDbVquLJZB5nYqQjKTPtB%2FvJ291tGNLbCT9JWDE6LNJinjNyrdVTY59O8YAAvQzlSGjZBnm%2FxtuuMztqaHZFXokICEBbT%2BFshm6CAa4gSo85Grzh%2BXouNRZACQCM&connectionData=%5B%7B%22name%22%3A%22chathub%22%7D%5D
	0			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b13110_1997279404_53312_140736767594668_80_6_281438276_2083690343	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/jquery-easyui/jquery.easyui.min.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53312	200	/Scripts/jquery-easyui/jquery.easyui.min.js?v1528191898716
	804			text/css	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/tip/tip.css?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/lib/power/tip/tip.css?v1528191898716
	3650			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/menuTip/jquery.ppMenuTip.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/lib/power/menuTip/jquery.ppMenuTip.js?v1528191898716
	1300			text/css	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191861_0x63ae17f0_696428736_59596_140734032908460_8081_6_1723467419_1461592415	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/sideBox/sideBox.css?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53304	200	/Scripts/lib/power/sideBox/sideBox.css?v1528191898716
	461			text/css	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/menuTip/ppMenuTip.css?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/lib/power/menuTip/ppMenuTip.css?v1528191898716
	1376			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/jquery-easyui/custom/jquery.easyui.query.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/jquery-easyui/custom/jquery.easyui.query.js?v1528191898716
	194			application/json; charset=utf-8	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b13110_1997279404_53312_140736767594668_80_6_281438276_2083690343	172.16.10.213	0	http	1528191897	POST	http://172.16.10.213/Timesheets/Submit/TimesheetList	1528191897	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53312	200	/Timesheets/Submit/TimesheetList
	968			text/css	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191896_0x63b13400_1997279404_53313_140736767594668_80_6_1814575277_695171544	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/webuploader/webuploader.css?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53313	200	/Scripts/lib/webuploader/webuploader.css?v1528191898716
	733			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191861_0x63ae17f0_696428736_59596_140734032908460_8081_6_1723467419_1461592415	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/lib/power/import/jquery.powerImport.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53304	200	/Scripts/lib/power/import/jquery.powerImport.js?v1528191898716
	22490			image/png	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Content/images/Button/button-bg.png	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Content/images/Button/button-bg.png
	24870			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/NetPlugins/nicescroll/jquery.nicescroll.min.js?v1528191898716	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/NetPlugins/nicescroll/jquery.nicescroll.min.js?v1528191898716
	2283			application/javascript	郑州	中国	34.75	113.62	河南	172.16.10.213	80	1528191886_0x63b03180_896733356_52980_140736767594668_443_6_1181066125_846310664	172.16.10.213	0	http	1528191896	GET	http://172.16.10.213/Scripts/PagesJs/Timesheets/jquery.ppTable.js?v20170301	1528191896	OK	郑州	中国	34.75	113.62	河南	172.16.10.102	53302	200	/Scripts/PagesJs/Timesheets/jquery.ppTable.js?v20170301
